id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags;license
LKD_PS_0;PS_2;['LKD_2'];['LKD_N_0', 'LKD_N_1'];[51.600642, 51.357503];[6.428327, 6.510393];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.462029, 'length_km': 26.850402167811588, 'long_mean': 6.473089, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1F', 'DEA14'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.427943], 'path_long': [6.480546], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.12156949999999965, 'length_km': 0.3333333333333333, 'long_mean': 0.04103299999999965, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_1;PS_3;['LKD_3'];['LKD_N_0', 'LKD_N_2'];[51.600642, 51.548819];[6.428327, 6.812494];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.57473, 'length_km': 27.175269111925413, 'long_mean': 6.62041, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1F', 'DEA17'], 'operator_name': 'OpenGridEurope', 'path_lat': [], 'path_long': [], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.02591149999999942, 'length_km': 0.5, 'long_mean': 0.19208349999999982, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_2;PS_5;['LKD_5'];['LKD_N_1', 'LKD_N_3'];[51.357503, 51.318078];[6.510393, 6.284121];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.342278, 'length_km': 16.930797793966647, 'long_mean': 6.420116, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA14', 'DEA1E'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.356569, 51.33696], 'path_long': [6.4752, 6.41075], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.019712500000000688, 'length_km': 0.25, 'long_mean': 0.1131359999999999, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_3;PS_7;['LKD_7'];['LKD_N_1', 'LKD_N_4'];[51.357503, 51.294797];[6.510393, 6.623961];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.330165, 'length_km': 11.021469526660265, 'long_mean': 6.567261, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA14', 'DEA1D'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.338194], 'path_long': [6.56743], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.03135299999999929, 'length_km': 0.3333333333333333, 'long_mean': 0.05678400000000038, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_4;PS_9;['LKD_9'];['LKD_N_4', 'LKD_N_5'];[51.294797, 51.25372];[6.623961, 6.541752];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.274258, 'length_km': 7.150853581614995, 'long_mean': 6.582856, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1D', 'DEA1E'], 'operator_name': 'OpenGridEurope', 'path_lat': [], 'path_long': [], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.02053850000000068, 'length_km': 0.5, 'long_mean': 0.041104500000000314, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_5;PS_10;['LKD_10'];['LKD_N_5', 'LKD_N_6'];[51.25372, 51.248121];[6.541752, 6.449577];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.25092, 'length_km': 6.587315907721936, 'long_mean': 6.495664, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1E', 'DEA1E'], 'operator_name': 'OpenGridEurope', 'path_lat': [], 'path_long': [], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.0027995000000018417, 'length_km': 0.5, 'long_mean': 0.04608750000000005, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_6;PS_11;['LKD_11'];['LKD_N_5', 'LKD_N_7'];[51.25372, 51.021797];[6.541752, 6.956925];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.151385, 'length_km': 40.334422411294724, 'long_mean': 6.701508, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA2'], 'nuts_id_3': ['DEA1E', 'DEA23'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.21788, 51.112144], 'path_long': [6.594476, 6.712878], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.11596150000000094, 'length_km': 0.25, 'long_mean': 0.2075865000000001, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_7;PS_12;['LKD_12'];['LKD_N_4', 'LKD_N_8'];[51.294797, 51.181398];[6.623961, 6.898994];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.215519, 'length_km': 28.54094766641569, 'long_mean': 6.736028, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1D', 'DEA11'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.248884, 51.191344, 51.161173], 'path_long': [6.693968, 6.706538, 6.756678], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.05669950000000057, 'length_km': 0.2, 'long_mean': 0.13751649999999982, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_8;PS_14;['LKD_14'];['LKD_N_2', 'LKD_N_9'];[51.548819, 51.432235];[6.812494, 6.626949];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.490527, 'length_km': 18.256142157053343, 'long_mean': 6.719722, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA17', 'DEA1F'], 'operator_name': 'OpenGridEurope', 'path_lat': [], 'path_long': [], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.058292000000001565, 'length_km': 0.5, 'long_mean': 0.09277250000000015, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
LKD_PS_9;PS_15;['LKD_15'];['LKD_N_4', 'LKD_N_9'];[51.294797, 51.432235];[6.623961, 6.626949];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 51.360417, 'length_km': 16.980408458650825, 'long_mean': 6.642997, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': ['DEA', 'DEA'], 'nuts_id_2': ['DEA1', 'DEA1'], 'nuts_id_3': ['DEA1D', 'DEA1F'], 'operator_name': 'OpenGridEurope', 'path_lat': [51.354219], 'path_long': [6.678082], 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 0, 'lat_mean': 0.06871899999999798, 'length_km': 0.3333333333333333, 'long_mean': 0.0014939999999996623, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': [0, 0], 'nuts_id_2': [0, 0], 'nuts_id_3': [0, 0], 'operator_name': 0, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None};{'diameter_mm': None, 'is_H_gas': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'fill_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()', 'operator_name': 'raw', 'path_lat': 'K_Netze.make_path_latlong(lat)', 'path_long': 'K_Netze.make_path_latlong(lat)', 'pipe_class_LKD': None};{};{'diameter_mm': None, 'is_H_gas': None, 'lat_mean': None, 'length_km': None, 'long_mean': None, 'max_cap_M_m3_per_d': 'CC4', 'max_pressure_bar': None, 'nuts_id_1': None, 'nuts_id_2': None, 'nuts_id_3': None, 'operator_name': None, 'path_lat': None, 'path_long': None, 'pipe_class_LKD': None}
