city,lat,lng,country,iso2,admin_name,capital,population,population_proper,gdp
Berlin,52.52,13.405,Germany,DE,Berlin,primary,4473101,3677472,40105
Stuttgart,48.7775,9.18,Germany,DE,Baden-Württemberg,admin,2787724,626275,90518
Munich,48.1375,11.575,Germany,DE,Bavaria,admin,2606021,1487708,79690
Hamburg,53.55,10,Germany,DE,Hamburg,admin,2484800,1853935,64771
Cologne,50.9364,6.9528,Germany,DE,North Rhine-Westphalia,,1083498,1073096,59588
Frankfurt,50.1106,8.6822,Germany,DE,Hesse,minor,764104,759224,94190
Düsseldorf,51.2333,6.7833,Germany,DE,North Rhine-Westphalia,admin,645923,619477,81563
Leipzig,51.34,12.375,Germany,DE,Saxony,minor,615081,615081,36761
Dortmund,51.5167,7.4667,Germany,DE,North Rhine-Westphalia,minor,587696,586852,38469
Essen,51.4508,7.0131,Germany,DE,North Rhine-Westphalia,minor,582415,579432,43365
Bremen,53.0833,8.8,Germany,DE,Bremen,admin,566573,563290,50675
Dresden,51.05,13.74,Germany,DE,Saxony,admin,561922,561922,40524
Hannover,52.3667,9.7167,Germany,DE,Lower Saxony,admin,542668,535932,45583
Nuremberg,49.4539,11.0775,Germany,DE,Bavaria,minor,515543,510632,60711
Duisburg,51.4347,6.7625,Germany,DE,North Rhine-Westphalia,minor,495885,495152,36475
Bochum,51.4819,7.2158,Germany,DE,North Rhine-Westphalia,minor,364454,363441,33171
Wuppertal,51.2667,7.1833,Germany,DE,North Rhine-Westphalia,minor,355004,354572,36429
Bielefeld,52.0211,8.5347,Germany,DE,North Rhine-Westphalia,minor,334002,334002,41016
Bonn,50.7333,7.1,Germany,DE,North Rhine-Westphalia,minor,331885,331885,80288
Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,minor,317713,317713,55003
Mannheim,49.4878,8.4661,Germany,DE,Baden-Württemberg,minor,311831,311831,67775
Karlsruhe,49.0092,8.404,Germany,DE,Baden-Württemberg,minor,308436,306502,65518
Augsburg,48.3689,10.8978,Germany,DE,Bavaria,minor,296478,296478,49447
Wiesbaden,50.0825,8.24,Germany,DE,Hesse,admin,278950,278950,63527
Mönchengladbach,51.2,6.4333,Germany,DE,North Rhine-Westphalia,minor,261001,261001,33785
Gelsenkirchen,51.5167,7.1,Germany,DE,North Rhine-Westphalia,minor,260126,260126,30248
Aachen,50.7756,6.0836,Germany,DE,North Rhine-Westphalia,minor,249070,249070,37631
Braunschweig,52.2667,10.5167,Germany,DE,Lower Saxony,minor,248823,248823,78057
Chemnitz,50.8333,12.9167,Germany,DE,Saxony,minor,248042,248042,35961
Kiel,54.3233,10.1394,Germany,DE,Schleswig-Holstein,admin,246601,246243,47639
Halle,51.4828,11.9697,Germany,DE,Saxony-Anhalt,minor,238061,238061,35909
Magdeburg,52.1317,11.6392,Germany,DE,Saxony-Anhalt,admin,236188,236188,34525
Freiburg im Breisgau,47.995,7.85,Germany,DE,Baden-Württemberg,minor,231848,231848,87245
Krefeld,51.3333,6.5667,Germany,DE,North Rhine-Westphalia,minor,227050,227050,40593
Mainz,49.9833,8.2667,Germany,DE,Rhineland-Palatinate,admin,217556,217556,57120
Lübeck,53.8697,10.6864,Germany,DE,Schleswig-Holstein,minor,216277,216277,43769
Erfurt,50.9833,11.0333,Germany,DE,Thuringia,admin,213835,213835,39715
Oberhausen,51.4967,6.8706,Germany,DE,North Rhine-Westphalia,minor,209566,208752,27191
Rostock,54.0833,12.1333,Germany,DE,Mecklenburg-Western Pomerania,,209061,208400,36270
Kassel,51.3158,9.4979,Germany,DE,Hesse,minor,201048,200406,51960
Hagen,51.3667,7.4833,Germany,DE,North Rhine-Westphalia,minor,188713,188713,34831
Potsdam,52.4,13.0667,Germany,DE,Brandenburg,admin,183154,183154,42440
Saarbrücken,49.2333,7,Germany,DE,Saarland,admin,179634,179634,44904
Hamm,51.6833,7.8167,Germany,DE,North Rhine-Westphalia,minor,179238,179238,29631
Ludwigshafen,49.4811,8.4353,Germany,DE,Rhineland-Palatinate,minor,172557,172145,81349
Mülheim,51.4275,6.8825,Germany,DE,North Rhine-Westphalia,minor,170921,170739,43910
Oldenburg,53.1439,8.2139,Germany,DE,Lower Saxony,minor,170389,170389,46404
Osnabrück,52.2833,8.05,Germany,DE,Lower Saxony,minor,165034,165034,49817
Leverkusen,51.0333,6.9833,Germany,DE,North Rhine-Westphalia,minor,163851,163851,51469
Darmstadt,49.8722,8.6528,Germany,DE,Hesse,minor,159631,159631,77892
Solingen,51.1667,7.0833,Germany,DE,North Rhine-Westphalia,minor,159360,158957,50982
Heidelberg,49.4167,8.7167,Germany,DE,Baden-Württemberg,minor,159245,159245,57123
Herne,51.55,7.2167,Germany,DE,North Rhine-Westphalia,minor,156621,156621,43910
Neuss,51.2,6.7,Germany,DE,North Rhine-Westphalia,minor,153796,152731,53768
Regensburg,49.0167,12.0833,Germany,DE,Bavaria,minor,153542,153542,87245
Paderborn,51.7181,8.7542,Germany,DE,North Rhine-Westphalia,minor,152531,152531,41826
Ingolstadt,48.7631,11.425,Germany,DE,Bavaria,minor,138016,138016,127792
Fürth,49.4667,11,Germany,DE,Bavaria,minor,129122,129122,37656
Würzburg,49.7833,9.9333,Germany,DE,Bavaria,minor,127880,126933,64131
Ulm,48.4,9.9833,Germany,DE,Baden-Württemberg,minor,126949,126949,77208
Heilbronn,49.15,9.2167,Germany,DE,Baden-Württemberg,minor,126458,125613,55707
Pforzheim,48.895,8.705,Germany,DE,Baden-Württemberg,minor,126016,125529,40484
Wolfsburg,52.4231,10.7872,Germany,DE,Lower Saxony,minor,124151,123949,182301
Göttingen,51.5339,9.9356,Germany,DE,Lower Saxony,minor,119801,116557,38274
